word,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
TRUE,,,,,0.32799999999999996,,,0.789,0.0,1.0
aaaaaaah,,,,0.344,,,,,,
aaaah,,,,0.23399999999999999,,,,,,
abacus,,,,,,,,0.406,0.0,0.0
abandon,,,,0.531,,0.703,,,1.0,0.0
abandoned,0.222,,,0.534,,0.828,,,1.0,0.0
abandonment,0.43799999999999994,,,0.609,,0.8590000000000001,0.523,,1.0,0.0
abbot,,,,,,,,0.43799999999999994,0.0,0.0
abduction,,,,0.7,,0.75,0.773,,1.0,0.0
aberration,,,0.531,,,,,,1.0,0.0
abeyance,,0.391,,,,,,,0.0,0.0
abhor,0.816,,0.609,0.547,,,,,1.0,0.0
abhorrence,,,0.742,,,,,,,
abhorrent,0.875,,0.68,0.672,,,,,1.0,0.0
abide,,0.36700000000000005,,,,,,,0.0,0.0
abject,,,0.43799999999999994,,,,,,1.0,0.0
abnormal,,,0.43799999999999994,,,,,,1.0,0.0
abolish,0.485,,,,,,,,1.0,0.0
abominable,,,0.664,0.738,,,,,1.0,0.0
abominate,,,0.68,,,,,,,
abomination,0.8440000000000001,,0.742,0.8440000000000001,,,,,1.0,0.0
abortion,,,0.6559999999999999,0.6409999999999999,,0.7659999999999999,,,1.0,0.0
abortive,,,,,,0.672,,,1.0,0.0
abrupt,,,,,,,0.703,,0.0,0.0
abscess,,,,,,0.43799999999999994,,,1.0,0.0
absence,,,,0.396,,0.547,,,1.0,0.0
absent,,,,,,0.43799999999999994,,,1.0,0.0
absentee,,,,,,0.348,,,1.0,0.0
absolution,,,,,0.306,,,0.617,0.0,1.0
abundance,,0.547,0.078,,0.652,,,0.57,1.0,1.0
abundant,,,,,0.516,,,,0.0,1.0
abuse,0.812,,0.695,0.672,,0.625,,,1.0,0.0
abysmal,,,,,,0.742,,,1.0,0.0
abyss,,,,0.578,,0.594,,,1.0,0.0
academic,,,,,,,,0.648,0.0,1.0
accelerate,,0.594,,,,,,,0.0,0.0
accept,,,,,,,,0.664,0.0,0.0
acceptance,,,,,,,,0.68,0.0,1.0
acceptances,,,,0.203,,,,,,
accepted,,,,,,,,0.672,,
accepting,,,,,,,,0.742,,
accepts,,,,,,,,0.648,,
accident,,,,0.75,,0.516,0.75,,1.0,0.0
accidental,,,,0.43799999999999994,,,0.672,,1.0,0.0
accidentally,,,,,,,0.672,,0.0,0.0
acclaim,,,,,,,,0.586,,
accolade,,0.562,,,0.586,,0.281,0.508,0.0,1.0
accompaniment,,0.47700000000000004,,,0.179,,,0.531,0.0,1.0
accomplish,,,,,0.5,,,,0.0,1.0
accomplished,,,,,0.672,,,,0.0,1.0
accomplishment,,,,,0.594,,,,0.0,1.0
accord,,,,,,,,0.617,0.0,1.0
account,,,,,,,,0.523,0.0,0.0
accountability,,,,,,,,0.664,0.0,1.0
accountable,,,,,,,,0.695,0.0,1.0
accountant,,,,,,,,0.42200000000000004,0.0,0.0
accounts,,,,,,,,0.391,0.0,0.0
accredited,,,,,,,,0.672,0.0,1.0
accurate,,,,,,,,0.625,0.0,1.0
accursed,0.588,,,0.594,,0.6970000000000001,,,1.0,0.0
accusation,0.51,,0.523,,,,,,1.0,0.0
accused,0.6409999999999999,,,0.469,,,,,1.0,0.0
accuser,0.47,,,0.43799999999999994,,,,,1.0,0.0
accusing,0.779,,,0.484,,,,,1.0,0.0
ache,,,,,,0.531,,,1.0,0.0
achieve,,,,,0.6409999999999999,,,0.6559999999999999,0.0,1.0
achieved,,,,,0.5,,,,,
achievement,,0.695,,,0.7120000000000001,,,0.625,0.0,1.0
aching,,,,,,0.544,,,1.0,0.0
acquiring,,0.594,,,,,,,0.0,1.0
acrobat,,,,0.266,0.162,,,0.258,0.0,1.0
actionable,0.39399999999999996,,0.21100000000000002,,,,,,1.0,0.0
actress,,,,,,,,0.305,,
ada,,,,,,,,0.23399999999999999,,
adder,0.212,,0.38299999999999995,0.547,,0.361,,,1.0,0.0
addict,,,,,,,,0.172,,
addresses,,0.289,,,,,,,0.0,1.0
adhering,,,,,,,,0.57,0.0,0.0
adjudicate,,,,0.297,,,,,1.0,0.0
adjust,,,,,,,,0.375,0.0,0.0
administrative,,,,,,,,0.35200000000000004,0.0,0.0
admirable,,,,,0.562,,,0.7340000000000001,0.0,1.0
admiral,,,,,,,,0.594,0.0,1.0
admiration,,,,,0.7340000000000001,,0.32799999999999996,0.703,0.0,1.0
admire,,,,,,,0.266,0.703,0.0,1.0
admissible,,,,,,,,0.508,0.0,1.0
admit,,,,,,,,0.562,0.0,0.0
admitted,,,,,,,,0.461,0.0,0.0
admitting,,,,,,,,0.539,0.0,0.0
admonition,,,,0.469,,,,,1.0,0.0
adorable,,,,,0.609,,,,0.0,1.0
adoration,,,,,0.688,,,0.523,0.0,1.0
adore,,0.47700000000000004,,,0.667,,,0.578,0.0,1.0
adrift,,0.42200000000000004,,0.32799999999999996,,0.32799999999999996,,,1.0,0.0
adultery,,,0.727,,,0.5660000000000001,,,1.0,0.0
advance,,0.695,,0.188,0.375,,0.375,,0.0,1.0
advent,,0.594,,,0.152,,,0.516,0.0,1.0
adventure,,0.75,,,0.47,,,,0.0,1.0
adventures,,,,,0.391,,,,,
adversary,0.545,,,,,,,,1.0,0.0
adverse,0.609,,0.43,0.35200000000000004,,0.281,,,1.0,0.0
adversity,0.47,,,0.418,,0.484,,,1.0,0.0
adverts,0.19699999999999998,,,,,,,,,
advice,,,,,,,,0.617,0.0,0.0
advisable,,,,,,,,0.648,0.0,1.0
advise,,,,,,,,0.57,0.0,1.0
advised,,,,,,,,0.75,0.0,0.0
adviser,,,,,,,,0.688,0.0,1.0
advocacy,0.1,0.5,,,0.25,,,0.68,0.0,1.0
advocate,,,,,,,,0.664,0.0,0.0
aesthetics,,,,,0.455,,,,0.0,1.0
affection,,,,,0.647,,,0.484,0.0,1.0
affirm,,,,,,,,0.68,0.0,1.0
affirmatively,,,,,,,,0.664,0.0,1.0
afflict,,,,0.562,,0.789,,,1.0,0.0
affliction,,,0.484,0.557,0.10300000000000001,0.645,,,1.0,0.0
affluence,,,,,0.391,,,,0.0,1.0
affront,0.40299999999999997,,0.42200000000000004,0.266,,0.359,0.531,,1.0,0.0
afraid,,,,0.8440000000000001,,,,,1.0,0.0
aftermath,0.359,,0.281,0.469,,0.5,,,1.0,0.0
aga,,,,0.21899999999999997,,,,0.359,0.0,1.0
agape,,0.547,,,,,0.633,,,
aggravated,0.703,,,,,,,,1.0,0.0
